STATION:   TWIN CITIES MN
MONTH:     DECEMBER
YEAR:      2015
LATITUDE:   44 52 N
LONGITUDE:  93 13 W

TEMPERATURE IN F:       :PCPN:    SNOW:  WIND      :SUNSHINE: SKY     :PK WND
================================================================================
1   2   3   4   5  6A  6B    7    8   9   10  11  12  13   14  15   16   17  18
12Z  AVG MX 2MIN
DY MAX MIN AVG DEP HDD CDD  WTR  SNW DPTH SPD SPD DIR MIN PSBL S-S WX    SPD DR
================================================================================

1  34  26  30   5  35   0 0.09  0.1    4  6.7 13 100   M    M  10 1      17  90
2  36  28  32   7  33   0    T    T    3  5.5 12 300   M    M  10 1      15 320
3  35  22  29   5  36   0 0.00  0.0    2  6.2 12 230   M    M   4 1      14 220
4  47  22  35  11  30   0 0.00  0.0    2  7.5 15 170   M    M   0 8      20 190
5  44  38  41  18  24   0 0.00  0.0    1 10.9 18 170   M    M   7 18     23 180
6  40  32  36  13  29   0 0.00  0.0    0  3.9  8 180   M    M  10 18     12 180
7  46  31  39  17  26   0 0.00  0.0    0 10.5 24 130   M    M   8 1      32 140
8  42  29  36  14  29   0 0.08  0.0    0  4.6 10 160   M    M   9 1      14  90
9  47  30  39  17  26   0 0.00  0.0    0  6.5 13 160   M    M   6 1      16 170
10  47  37  42  21  23   0 0.16  0.0    0 10.8 25 300   M    M   8 1      35 290
11  39  36  38  17  27   0 0.00  0.0    0  9.1 15  90   M    M   9        21 320
12  41  35  38  18  27   0    T  0.0    0  5.4 10  50   M    M  10 18     21  30
13  40  38  39  19  26   0 0.12  0.0    0 10.4 21 360   M    M  10 1      27 360
14  39  32  36  16  29   0 0.63    T    0 17.7 30 360   M    M  10 14     39 360
15  35  31  33  13  32   0 0.01  0.0    0 10.8 21 100   M    M  10 1      27 110
16  41  24  33  14  32   0 0.37  0.7    1 14.4 28 260   M    M  10 134    35 260
17  29  17  23   4  42   0    T    T    0 15.2 26 270   M    M  10 8      33 260
18  22   9  16  -3  49   0    T    T    T 12.9 23 300   M    M   7 8      29 270
19  28   8  18   0  47   0 0.00  0.0    0  8.1 15 150   M    M   4        21 170
20  41  27  34  16  31   0 0.00  0.0    0  7.0 14 360   M    M   9 1      22  20
21  33  30  32  14  33   0 0.02  0.3    0  7.9 15 360   M    M  10 1      22 340
22  35  30  33  15  32   0    T    T    T 12.5 24 120   M    M  10 18     31 130
23  36  27  32  14  33   0 0.38  0.5    0 11.3 26 260   M    M  10 18     33 260
24  27  23  25   8  40   0 0.00  0.0    1 10.6 25 260   M    M  10        32 270
25  30  25  28  11  37   0 0.00  0.0    T  7.5 14 140   M    M  10 8      17 160
26  32  28  30  13  35   0 0.09  2.3    2 10.2 16 340   M    M  10 18     25  40
27  28  12  20   3  45   0 0.00  0.0    2  8.7 16 320   M    M   6        22 360
28  23  12  18   1  47   0 0.21  3.4    2 12.3 22  30   M    M   9 1      28  20
29  27  20  24   8  41   0 0.15  2.1    4  8.8 16  10   M    M  10 1      22  20
30  25  16  21   5  44   0    T    T    5  5.8 13 230   M    M  10 18     16 220
31  20   7  14  -2  51   0 0.01  0.1    5  8.7 16 280   M    M   8 18     21 270
