STATION:   TWIN CITIES MN
MONTH:     JANUARY
YEAR:      2015
LATITUDE:   44 52 N
LONGITUDE:  93 13 W

TEMPERATURE IN F:       :PCPN:    SNOW:  WIND      :SUNSHINE: SKY     :PK WND
================================================================================
1   2   3   4   5  6A  6B    7    8   9   10  11  12  13   14  15   16   17  18
12Z  AVG MX 2MIN
DY MAX MIN AVG DEP HDD CDD  WTR  SNW DPTH SPD SPD DIR MIN PSBL S-S WX    SPD DR
================================================================================

1  30  11  21   5  44   0    T    T    3 10.4 20 330   M    M   8        26 330
2  28   6  17   1  48   0 0.00  0.0    3  6.9 16 160   M    M   7        19 160
3  33  12  23   7  42   0    T  0.1    3 12.6 29 350   M    M   8 189    35 340
4  12  -7   3 -13  62   0 0.00  0.0    3 16.1 26 340   M    M   4        34 340
5   1 -11  -5 -21  70   0 0.06  0.5    3  7.2 15 240   M    M   6 18     19 280
6   8  -5   2 -14  63   0 0.00  0.0    3 12.7 28 320   M    M   4 89     36 320
7  -1  -9  -5 -21  70   0 0.00  0.0    3 13.7 26 320   M    M   1        34 320
8  16  -6   5 -10  60   0 0.15  3.0    3 15.5 31 300   M    M  10 19     42 310
9   6  -4   1 -14  64   0 0.00  0.0    5 13.5 29 310   M    M   3 89     35 300
10  19  -4   8  -7  57   0 0.00  0.0    4  5.4 12 110   M    M   5        17 100
11  14   3   9  -6  56   0    T  0.1    4  4.6 12  10   M    M   9 8      19 360
12   5  -5   0 -15  65   0 0.00  0.0    4  7.4 17 350   M    M   0        23 340
13  15 -10   3 -12  62   0 0.02  0.4    4  6.5 14 170   M    M   2 18     18 170
14  24  15  20   5  45   0 0.01  0.2    4  6.6 12 170   M    M   9 18     16 220
15  35  19  27  12  38   0 0.00  0.0    4  8.1 22 310   M    M   6 18     26 310
16  30  27  29  14  36   0 0.00  0.0    4 10.5 20 110   M    M   9 1      25 100
17  38  26  32  17  33   0 0.00  0.0    3 10.4 25 280   M    M   9 18     33 310
18  39  25  32  17  33   0 0.00  0.0    3  7.1 14 270   M    M   4        20 270
19  37  22  30  15  35   0 0.01  0.1    2  7.8 16 150   M    M   9 1      21 150
20  32  28  30  15  35   0 0.05  0.8    2  7.0 12  70   M    M   9 18     17  50
21  30  26  28  13  37   0 0.01  0.1    2  8.1 15 320   M    M  10 1      20  10
22  30  18  24   9  41   0 0.00  0.0    2  8.6 15 200   M    M   8        22 210
23  39  29  34  18  31   0 0.00  0.0    2  8.8 16 220   M    M   6 1      23 210
24  42  29  36  20  29   0    T  0.0    2  4.9 15  50   M    M   7 1      19  50
25  35  20  28  12  37   0 0.03  0.1    1  9.7 20  10   M    M   6 18     26  30
26  45  22  34  18  31   0    T    T    1 10.1 20 310   M    M   9 8      23 290
27  36  30  33  17  32   0 0.00  0.0    T  7.4 15 140   M    M  10        20 150
28  31  28  30  14  35   0    T  0.0    T 10.9 18 140   M    M  10 168    24 150
29  34  15  25   9  40   0    T  0.0    T 16.5 26 320   M    M   8 16     35 330
30  27  11  19   3  46   0 0.00  0.0    T  6.9 14 170   M    M   4        19 170
31  28  19  24   7  41   0 0.00  0.0    T  8.2 21  50   M    M   8        30  30
