STATION:   TWIN CITIES MN
MONTH:     FEBRUARY
YEAR:      2015
LATITUDE:   44 52 N
LONGITUDE:  93 13 W

TEMPERATURE IN F:       :PCPN:    SNOW:  WIND      :SUNSHINE: SKY     :PK WND
================================================================================
1   2   3   4   5  6A  6B    7    8   9   10  11  12  13   14  15   16   17  18
12Z  AVG MX 2MIN
DY MAX MIN AVG DEP HDD CDD  WTR  SNW DPTH SPD SPD DIR MIN PSBL S-S WX    SPD DR
================================================================================

1  21   5  13  -4  52   0 0.02  0.5    T 15.1 23  20   M    M   8 8      29  40
2  16   0   8  -9  57   0 0.00  0.0    T  6.9 14 220   M    M   5        20 210
3  16   6  11  -6  54   0 0.06  1.5    T  2.4 10 320   M    M   8 18     18 350
4  15  -1   7 -11  58   0 0.01  0.4    2 11.3 24 300   M    M   4 18     33 300
5  19  -7   6 -12  59   0 0.00  0.0    2  8.9 25 220   M    M   3 18     32 220
6  30  13  22   4  43   0 0.00  0.0    1  6.6 12 130   M    M   8 8      16 110
7  36  20  28  10  37   0 0.00  0.0    1  7.7 17 120   M    M   7 18     20 120
8  32  23  28  10  37   0 0.00  0.0    T 10.4 16  10   M    M   8 8      24  20
9  33  20  27   8  38   0 0.00  0.0    T  5.9 10  90   M    M   5        19  60
10  29  22  26   7  39   0 0.13  0.8    T 10.4 23 140   M    M   9 1468   31 120
11  30   2  16  -3  49   0 0.01  0.1    1 19.2 31 320   M    M   6 19     37 320
12  10  -3   4 -16  61   0 0.00  0.0    1  7.4 24 340   M    M   5        31 340
13  30   6  18  -2  47   0    T    T    1 11.8 23 310   M    M   8        31 300
14  12  -3   5 -15  60   0 0.00  0.0    1 15.4 31 320   M    M   2 8      42 350
15   9   0   5 -16  60   0    T    T    1  9.2 15 130   M    M  10 8      19 140
16  20   8  14  -7  51   0 0.01  0.4    1  9.4 20 300   M    M  10 8      26 310
17  10  -2   4 -18  61   0    T    T    1 14.5 25 320   M    M   7        32 310
18   2  -9  -3 -25  68   0 0.00  0.0    1 14.5 23 320   M    M   3 8      28 310
19   9 -11  -1 -23  66   0 0.00  0.0    1  5.7 13 150   M    M   2        16 330
20  25   5  15  -8  50   0 0.07  0.8    1  7.0 18 170   M    M  10 18     24 180
21  24   0  12 -11  53   0 0.01  0.1    1 12.7 22 320   M    M   7 8      27 320
22   0  -9  -4 -27  69   0 0.00  0.0    1 12.5 21 320   M    M   1        26 320
23  23 -11   6 -18  59   0 0.00  0.0    1 11.4 23 220   M    M   4 8      34 210
24  32  13  23  -1  42   0 0.01  0.1    1 17.3 36 310   M    M   5 8      46 310
25  16   5  11 -14  54   0 0.02  0.2    1  9.7 16 350   M    M   7 8      22  30
26  11  -3   4 -21  61   0 0.00  0.0    1 10.1 16 310   M    M   1        22 320
27  15  -6   5 -20  60   0 0.00  0.0    T  6.7 13 210   M    M   0        17 230
28  20  -3   9 -17  56   0 0.00  0.0    T  9.6 21 160   M    M   3        25 170
