STATION:   TWIN CITIES MN
MONTH:     MAY
YEAR:      2015
LATITUDE:   44 52 N
LONGITUDE:  93 13 W

TEMPERATURE IN F:       :PCPN:    SNOW:  WIND      :SUNSHINE: SKY     :PK WND
================================================================================
1   2   3   4   5  6A  6B    7    8   9   10  11  12  13   14  15   16   17  18
12Z  AVG MX 2MIN
DY MAX MIN AVG DEP HDD CDD  WTR  SNW DPTH SPD SPD DIR MIN PSBL S-S WX    SPD DR
================================================================================

1  66  49  58   4   7   0 0.01  0.0    0  7.8 18 170   M    M   5        24 170
2  80  52  66  11   0   1 0.00  0.0    0  8.3 17 170   M    M   2        24 190
3  83  56  70  15   0   5 0.05  0.0    0  7.3 37 340   M    M   6 38     47 340
4  72  50  61   5   4   0 0.00  0.0    0  8.8 18  50   M    M   6        25  40
5  70  51  61   5   4   0 0.02  0.0    0 12.8 23 100   M    M   6 1      28 130
6  77  56  67  11   0   2    T  0.0    0 13.8 28 140   M    M   9 18     36 130
7  76  62  69  13   0   4 0.35  0.0    0 10.7 23 160   M    M   9 138    31 200
8  62  49  56  -1   9   0 0.02  0.0    0  8.6 16 330   M    M   7 1      22  20
9  69  44  57   0   8   0 0.00  0.0    0  8.7 20  20   M    M   3        25  20
10  60  48  54  -3  11   0 0.72  0.0    0 14.0 24  80   M    M   9 1      29 100
11  55  44  50  -8  15   0 0.07  0.0    0 12.7 20 290   M    M  10 1      26 290
12  58  39  49  -9  16   0 0.02  0.0    0 13.0 25 320   M    M   7 1      31 330
13  67  43  55  -3  10   0 0.00  0.0    0 14.2 22 120   M    M   6        30 120
14  57  51  54  -5  11   0 0.34  0.0    0 11.6 21 110   M    M  10 1      27 100
15  67  53  60   1   5   0 0.00  0.0    0  5.6 10  80   M    M   9 1      19  10
16  76  58  67   8   0   2 0.06  0.0    0 12.5 25 130   M    M   9 138    30 150
17  74  48  61   1   4   0 0.08  0.0    0 18.4 38 220   M    M   8 138    50 220
18  48  40  44 -16  21   0    T  0.0    0 18.1 28 240   M    M  10        37 250
19  57  37  47 -13  18   0    T  0.0    0  7.1 18 360   M    M   5        27 320
20  62  41  52  -8  13   0 0.00  0.0    0  5.0 15 290   M    M   6 18     20 360
21  74  45  60  -1   5   0 0.00  0.0    0  9.4 21 320   M    M   1        28 320
22  75  46  61   0   4   0 0.00  0.0    0  3.5 12 140   M    M   3        16 130
23  73  51  62   1   3   0    T  0.0    0  6.1 15  40   M    M   7 8      22  10
24  64  58  61  -1   4   0 0.52  0.0    0  9.4 20 110   M    M  10 1      22 110
25  73  57  65   3   0   0 0.16  0.0    0 10.1 20 230   M    M   9 1      26 230
26  63  57  60  -2   5   0 0.59  0.0    0  6.2 12 360   M    M   9 1      20  20
27  84  55  70   8   0   5    T  0.0    0  5.9 15 260   M    M   3 1      20 240
28  84  62  73  10   0   8 0.00  0.0    0  9.8 24 170   M    M   5 8      30 170
29  72  54  63   0   2   0 0.54  0.0    0 10.8 22 350   M    M  10 1      29 350
30  64  47  56  -7   9   0 0.00  0.0    0 12.8 24  10   M    M   5        34  30
31  63  44  54 -10  11   0 0.00  0.0    0  9.1 15 110   M    M   4        21  60
