STATION:   TWIN CITIES MN
MONTH:     SEPTEMBER
YEAR:      2015
LATITUDE:   44 52 N
LONGITUDE:  93 13 W

TEMPERATURE IN F:       :PCPN:    SNOW:  WIND      :SUNSHINE: SKY     :PK WND
================================================================================
1   2   3   4   5  6A  6B    7    8   9   10  11  12  13   14  15   16   17  18
12Z  AVG MX 2MIN
DY MAX MIN AVG DEP HDD CDD  WTR  SNW DPTH SPD SPD DIR MIN PSBL S-S WX    SPD DR
================================================================================

1  86  69  78  10   0  13 0.00  0.0    0  5.5 12 140   M    M   8 18     15 140
2  78  69  74   6   0   9 0.23  0.0    0  8.4 21 230   M    M   8 13     27 230
3  84  67  76   9   0  11 0.00  0.0    0 10.3 16 100   M    M   5 18     19 100
4  89  71  80  13   0  15 0.00  0.0    0 11.1 18 120   M    M   5 1      24 130
5  89  75  82  16   0  17 0.01  0.0    0 10.9 22 190   M    M   7 18     32 200
6  83  70  77  11   0  12 0.73  0.0    0  9.8 21 160   M    M   7 13     32 150
7  82  67  75   9   0  10    T  0.0    0  7.3 15  30   M    M   5        23  30
8  78  60  69   4   0   4 0.13  0.0    0  9.3 20 290   M    M   4 13     24 290
9  71  56  64  -1   1   0 0.28  0.0    0  4.6 28 310   M    M   6 138    35 310
10  71  54  63  -2   2   0 0.02  0.0    0  8.6 20 320   M    M   5 1      26 310
11  64  48  56  -8   9   0 0.00  0.0    0  7.4 18 360   M    M   4        27  10
12  69  47  58  -6   7   0 0.00  0.0    0  3.7 13 270   M    M   3        15 280
13  75  52  64   1   1   0 0.00  0.0    0  9.9 18 170   M    M   1        25 170
14  83  58  71   8   0   6 0.01  0.0    0 11.1 18 170   M    M   1 3      24 170
15  87  66  77  15   0  12    T  0.0    0 16.6 30 160   M    M   3        38 160
16  84  65  75  13   0  10 0.08  0.0    0 14.2 26 170   M    M   6 3      33 170
17  78  60  69   7   0   4 2.37  0.0    0 10.0 21 300   M    M   7 13     28 310
18  61  53  57  -4   8   0 0.37  0.0    0  6.5 17  20   M    M   7 1      23 360
19  69  48  59  -2   6   0 0.00  0.0    0  6.4 14 240   M    M   3        19 230
20  72  50  61   1   4   0 0.11  0.0    0  8.3 22 160   M    M   6 3      27 150
21  81  55  68   8   0   3 0.00  0.0    0 11.8 23 170   M    M   1        28 150
22  74  64  69  10   0   4    T  0.0    0  6.2 15 350   M    M   8 18     25  20
23  76  62  69  10   0   4 0.06  0.0    0  6.0 15 220   M    M   9 138    21 230
24  67  64  66   8   0   1 0.25  0.0    0  6.5 12 110   M    M   9 18     14 120
25  78  61  70  12   0   5 0.00  0.0    0  4.9 13  70   M    M   8 18     20  60
26  78  58  68  11   0   3 0.00  0.0    0  7.2 16 170   M    M   1 18     20 170
27  82  59  71  14   0   6 0.00  0.0    0 10.8 20 170   M    M   0        25 200
28  77  61  69  13   0   4    T  0.0    0  7.9 16  10   M    M   8 8      27  10
29  63  48  56   0   9   0 0.00  0.0    0  7.7 20  20   M    M   3 8      24  20
30  63  43  53  -3  12   0 0.00  0.0    0  7.3 15 100   M    M   0 8      20  90
